r1bqk2r/ppp1bpp1/2np1n1p/4p3/2B1PP2/P2P1N2/1PP3PP/RNBQ1RK1 b kq -,e5f4 c1f4 c8e6 c4e6 f7e6 b1d2 e8h8 c2c3 a7a5 d3d4
rnb1kb1r/p3pppp/2p2n2/qp6/8/1BNP1N2/PPP2PPP/R1BQK2R b KQkq -,b5b4 c3e4 f6e4 d3e4 e7e6 e1h1 a5c7 c2c3 b8d7 f1e1
rnbqkb1r/ppp2ppp/8/4P3/8/2P5/P3PPPP/R1BQKBNR b KQkq -,b8c6 d1d8 c6d8 e2e3 f8e7 g1e2 d8c6 f2f4 c8f5 e2g3
r2qkbnr/pp1b2pp/2n1pp2/1BppP3/3P4/P1P2N2/1P3PPP/RNBQK2R b KQkq -,d8b6 b5c6 b6c6 e1h1 g8e7 h2h4 a8c8 d4c5 c6c5 c1e3
rnb1kb1r/ppp2ppp/8/4P3/8/2P5/P3PPPP/R1BK1BNR b kq -,c8f5 f2f3 b8c6 e2e4 e8a8 d1c2 f5d7 f3f4 c6a5 g1f3
8/2r5/2k1K3/8/3Q4/8/8/8 b - -,c6b5 d4e3 c7c5 e6d6 c5c4 e3b3 c4b4 b3d5 b5a4 d5a2
rn2kb1r/pp2pppp/2p2n2/q4bN1/2B5/2NP4/PPP2PPP/R1BQK2R b KQkq -,h7h6 c4f7 e8d8 g5e4 a5c7 f7b3 b8d7 e1h1 d8c8 f1e1
8/5bp1/5k2/8/4R3/8/7P/7K b - -,f7d5 h1g1 d5e4 g1f2 f6g5 f2g3 e4b7 g3f2 g5h4 f2e3
R7/P5k1/8/2K5/8/4r3/8/8 b - -,e3c3 c5b4 c3c7 a8g8 g7g8 a7a8q g8f7 a8d5 f7e8 b4b5
1Q6/3r4/2k1K3/8/8/8/8/8 b - -,d7d4 b8e5 d4b4 e5d5 c6b6 e6d6 b4b5 d5d3 b5b4 d3e3
rnbqr1k1/ppp1ppbp/3p1np1/8/3P1B2/4PN2/PPPNBPPP/R2Q1RK1 b - -,f6h5 f4g5 h7h6 g5h4 g6g5 f3e1 h5f6 h4g3 e7e5 c2c3
r1bq1rk1/ppp1ppbp/2np1np1/8/4PP2/2NP1N2/PPP1B1PP/R1BQ1RK1 b - -,b7b6 d3d4 d6d5 e2b5 c8d7 e4e5 f6e4 b5d3 d7f5 d1e2
r2qkbnr/ppp1pp1p/2n3p1/1B1pP3/3P2b1/5N2/PPP2PPP/RNBQK2R b KQkq -,d8d7 e1h1 a7a6 b5c6 d7c6 b1d2 g4f5 c2c3 e7e6 d2b3
r1bqkb1r/pp2pppp/2np1n2/2p5/2BPP3/2P2P2/PP4PP/RNBQK1NR b KQkq -,c5d4 c3d4 d6d5 e4d5 f6d5 g1e2 c8e6 e1h1 g7g6 c4d5
r1bqkbnr/pppp1ppp/8/8/3Pp3/1P6/P1PP1PPP/RNBQKB1R b KQkq -,d7d5 d2d3 g8f6 f1e2 f8d6 e1h1 e8h8 c2c4 c7c6 b1c3
r2qkb1r/ppp1pppp/1nn5/4P3/3P2b1/3BB3/PP2NPPP/RN1QK2R b KQkq -,g4h5 b1c3 d8d7 e1h1 e7e6 d1b3 c6a5 b3c2 a5c6 a2a3
8/8/3k4/8/4K3/N3B3/8/8 b - -,d6d7 e3f4 d7c6 e4d4 c6b6 a3c4 b6b5 d4d5 b5b4 f4e5
rn1qkb1r/pb2pppp/1pp2n2/3p4/3P4/2NBPN2/PPP2PPP/R1BQK2R b KQkq -,g7g6 e3e4 f6e4 c3e4 d5e4 d3e4 b8d7 a2a4 d7f6 e4d3
rnb1k2r/pppp1pp1/4pq1p/8/1b1PP3/2N5/PPP1NPPP/R2QKB1R b KQkq -,e8g8 d1d3 d7d6 a2a3 b4a5 f2f4 c7c5 d4c5 d6c5 e1c1
rn1qkb1r/pp3ppp/2p2p2/5b2/3P4/3B4/PPP1QPPP/R1B1K1NR b KQkq -,e8d7 d3f5 d7c7 g1f3 f8b4 c2c3 h8e8 c1e3 d8d5 f5h3
r1bqk2r/pppnbppp/3p1n2/4p3/3PP3/3B1N2/PPP2PPP/RNBQR1K1 b kq -,c7c6 c2c4 e8h8 b1c3 a7a6 a2a4 f8e8 a4a5 b7b5 a5b6
rnbqk1nr/pppp1ppp/8/2b1p3/8/2PPP3/PP3PPP/RNBQKBNR b KQkq -,d7d5 d3d4 e5d4 e3d4 c5d6 f1d3 g8f6 g1e2 e8h8 e1h1
rnbqkb1r/ppp1pppp/5n2/8/4pP2/2NP4/PPP3PP/R1BQKBNR b KQkq -,c8f5 g1e2 b8c6 e2g3 f5g4 d1d2 e4d3 f1d3 c6b4 d3b5
r1b1k1nr/pp1pppbp/1qn3p1/8/2P1P3/1N6/PP2BPPP/RNBQK2R b KQkq -,a7a6 c4c5 b6c7 b1c3 g8f6 e1h1 e8h8 c1g5 a6a5 e2b5
rn1qkb1r/1pp2ppp/p2p1n2/4p3/2B1P1b1/2NP1N2/PPP2PPP/R1BQ1RK1 b kq -,b7b5 c4b3 b8c6 h2h3 g4f3 d1f3 c6d4 f3d1 c7c6 c1e3
r1bqkb1r/ppp2ppp/5n2/3p4/3QP3/2N2P2/PPP3PP/R1B1KB1R b KQkq -,h7h6 e4d5 f8d6 c1f4 d8e7 f1e2 e8h8 e1a1 f8e8 f4d6
rnbq1rk1/pp3ppp/4pB2/2pp4/1bPP4/2N1PN2/PP3PPP/R2QKB1R b KQ -,d8e8 f6h4 c5d4 f3d4 d5c4 f1c4 e6e5 d4b5 c8e6 c4e2
r1bqkb1r/ppp2ppp/2n1pn2/8/2BP4/P1N2N2/1PP2PPP/R1BQK2R b KQkq -,a8b8 d1e2 f8e7 e1h1 e8h8 f1d1 a7a6 c4d3 g8h8 c1f4
r1bqkb1r/1ppp1ppp/p7/4p3/B2Nn3/8/PPP2PPP/RNBQ1RK1 b kq -,d8f6 d4f3 e4c5 f1e1 f8d6 a4b3 e8h8 b1c3 c7c6 c1e3
r1bqk2r/ppp1bppp/2np1n2/1B2p3/4PP2/2NP1N2/PPP3PP/R1BQK2R b KQkq -,f6g4 e1h1 e8h8 f4f5 g4f6 b5a4 c8d7 c1e3 f6g4 e3d2
rnb1k1nr/pp1pqppp/2pb4/3Pp3/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,d6c7 c1g5 g8f6 f3h4 d7d6 d1f3 c7a5 e1a1 a5c3 b2c3
r4r1k/p3qppp/1np1p3/6Q1/3PN3/8/PP3PPP/R2R2K1 b - -,e7b4 g5d2 b6d5 a1c1 a7a5 c1c5 b4d2 d1d2 h8g8 e4d6
rn1qkbnr/pp2pppp/2p5/3pNb2/2PP2P1/8/PP2PP1P/RNBQKB1R b KQkq -,f5d7 b1c3 f7f6 e5d7 d8d7 e2e3 e7e6 c1d2 h7h5 g4h5
8/3k4/1Q6/4K3/8/8/8/7b b - -,f5d7 b1c3 f7f6 e5d7 d8d7 e2e3 e7e6 c1d2 h7h5 g4h5
r1bqk2r/ppp1bppp/2np1n2/1B6/4PB2/2NP1N2/PPP3PP/R2QK2R b KQkq -,a7a6 b5c6 b7c6 e1h1 e8h8 d1e2 a6a5 h2h3 a5a4 a1e1
rnbqk1nr/pp1pppbp/6p1/2p5/4P2P/2N2N2/PPPP1PP1/R1BQKB1R b KQkq -,g8f6 d2d4 c5d4 f3d4 b8c6 c1e3 h7h5 f1e2 f6g4 e2g4
rnbqkb1r/p2p1ppp/2p2n2/1p2p3/4PP2/1BN5/PPPP2PP/R1BQK1NR b KQkq -,a7a5 f4e5 b5b4 e5f6 b4c3 g1f3 d8f6 b2c3 c8a6 e4e5
r2qkb1r/ppp1pppp/1nn5/8/3PP1b1/2N1BN2/PP3PPP/R2QKB1R b KQkq -,c6a5 d1c2 g4f3 g2f3 e7e6 e1a1 d8e7 c3b5 c7c6 c2c3
r1bq1rk1/pppp1ppp/2n2n2/2b1P3/2B1P3/2NP4/PPP3PP/R1BQK1NR b KQ -,f6e4 d3e4 c6e5 c4e2 c7c6 c1f4 f8e8 f4e5 e8e5 g1f3
2kr1bnr/ppp1pppp/2n5/q4b2/8/2NP1N2/PPPBBPPP/R2QK2R b KQ -,f5g6 a2a3 a5f5 b2b4 g8f6 e1h1 e7e6 f1e1 c8b8 b4b5
rnbqk2r/ppp2pbp/3p1np1/4p3/2B1P3/3P1N1P/PPP2PP1/RNBQ1RK1 b kq -,a7a6 a2a4 e8h8 b1c3 h7h6 c1e3 b8c6 d1d2 g6g5 a1e1
r1bqk2r/ppppbppp/2n5/3P4/2B1n3/5N2/PP3PPP/RNBQK2R b KQkq -,c6b8 e1h1 e8h8 f1e1 e4f6 b1c3 d7d6 h2h3 f8e8 c4d3
rnbqkb1r/pp2pppp/1n1p4/2P1P3/8/1B6/PPP2PPP/RNBQK1NR b KQkq -,a7a5 c5b6 a5a4 b3c4 e7e6 c1e3 d6d5 c4e2 f8e7 g1f3
8/8/3K4/4Q3/5nk1/8/8/8 b - -,a7a5 c5b6 a5a4 b3c4 e7e6 c1e3 d6d5 c4e2 f8e7 g1f3
r1bqk2r/pppp1ppp/2n2n2/1BbN4/3pP3/5N2/PPP2PPP/R1BQK2R b KQkq -,a7a6 b5d3 h7h6 a2a3 e8h8 b2b4 c5a7 d5f6 d8f6 e1h1
3r1rk1/pp1qbppp/1nn1p3/1B6/3P2Q1/2N1B3/PP3PPP/3R1RK1 b - -,f7f5 g4f3 d7c7 g2g3 a7a6 b5c6 c7c6 f3c6 b7c6 d1c1
r1bqkbnr/ppp1pp1p/2np2p1/1B6/3PP3/5N2/PPP2PPP/RNBQK2R b KQkq -,a7a6 b5c6 b7c6 e1h1 f8g7 f1e1 g8h6 c2c4 f7f6 h2h3
3K1k2/7r/8/4Q3/8/8/8/8 b - -,h7h6 c2c4 c8d7 e1h1 f8g7 b1c3 g8f6 f1e1 e8h8 e4e5
r1bqk1nr/ppp1ppbp/2np2p1/1B6/3PP3/5N2/PPP2PPP/RNBQ1RK1 b kq -,c8g4 c2c3 a7a6 b5c6 b7c6 b1d2 g8f6 e4e5 f6d7 h2h3
8/8/3K2k1/8/3Q4/8/8/8 b - -,c8g4 c2c3 a7a6 b5c6 b7c6 b1d2 g8f6 e4e5 f6d7 h2h3
8/8/3K4/5k2/8/8/5Q2/8 b - -,c8g4 c2c3 a7a6 b5c6 b7c6 b1d2 g8f6 e4e5 f6d7 h2h3
8/8/3K4/8/4k3/8/3Q4/8 b - -,c8g4 c2c3 a7a6 b5c6 b7c6 b1d2 g8f6 e4e5 f6d7 h2h3
8/8/4K3/8/5k2/3Q4/8/8 b - -,c8g4 c2c3 a7a6 b5c6 b7c6 b1d2 g8f6 e4e5 f6d7 h2h3
8/8/5K2/8/6k1/3Q4/8/8 b - -,c8g4 c2c3 a7a6 b5c6 b7c6 b1d2 g8f6 e4e5 f6d7 h2h3
8/5K2/8/8/6rk/8/5Q2/8 b - -,g4g3 f2f4 h4h3 f7f6 h3g2 f4d2 g2g1 d2e1 g1h2 f6f5
8/8/8/6K1/8/5Q2/7k/8 b - -,g4g3 f7f6 h4g4 f2f5 g4h4 f5f4 h4h3 f6f5 g3g2 f4f3
7Q/5K2/8/7k/6r1/8/8/8 b - -,h5g5 h8f6 g5h5 f6f5 h5h4 f7f6 h4g3 f5d3 g3h4 d3d2
r1bqkb1r/pppn1ppp/4pn2/6B1/Q1pP4/4PN2/PP3PPP/RN2KB1R b KQkq -,h7h6 g5f6 d8f6 b1c3 f8d6 f1c4 e8h8 c4d3 f6e7 e1h1
rn1qkbnr/pbp1pppp/1p1p4/3P4/4P3/3B4/PPP2PPP/RNBQK1NR b KQkq -,c7c6 c2c4 b8d7 b1c3 g8f6 g1f3 d7c5 e1h1 c5d3 d1d3
rn1qkbnr/ppp1pppp/8/8/3pP1b1/3P1N2/PPP1BPPP/RNBQK2R b KQkq -,g4e6 c2c3 c7c5 b2b4 c5b4 c3d4 e6d7 d4d5 e7e6 d5e6
8/2Q2r2/5k2/8/4K3/8/8/8 b - -,g4e6 c2c3 c7c5 b2b4 c5b4 c3d4 e6d7 d4d5 e7e6 d5e6
r2qkb1r/ppp1pppp/2n2n2/3p4/3P1BbP/4PN2/PPP2PP1/RN1QKB1R b KQkq -,f6h5 f4h2 e7e6 c2c4 d5c4 f1c4 f8d6 c4e2 e8h8 b1c3
5r2/8/4K1k1/8/8/6Q1/8/8 b - -,f6h5 f4h2 e7e6 c2c4 d5c4 f1c4 f8d6 c4e2 e8h8 b1c3
8/8/1k6/8/3Q4/1B2K3/8/8 b - -,f6h5 f4h2 e7e6 c2c4 d5c4 f1c4 f8d6 c4e2 e8h8 b1c3
8/8/3K1Q2/8/4r1k1/8/8/8 b - -,e4e3 f6d4 g4f3 d6d5 f3e2 d4b2 e2d1 d5d4 e3h3 b2f2
rn1qkbnr/ppp2ppp/8/4p3/3pP3/3P1B2/PPP2PPP/RNBQ1RK1 b kq -,a7a6 c2c3 b8c6 b1d2 f8c5 d2b3 c5b6 f3g4 g8f6 g4h3
r2qk1nr/pppb1ppp/1bnp4/1B6/3PP3/2N2N2/PP3PPP/R1BQ1RK1 b kq -,d8c8 d4d5 c6e7 b5d7 c8d7 a2a4 b6c5 a4a5 a7a6 d1b3
8/8/2k1B3/3Q4/8/4K3/8/8 b - -,d8c8 d4d5 c6e7 e4e5 e7g6 e5d6 c7d6 c3e4 b6c7 d1b3
r2qkb1r/ppp3pp/2n2n2/3ppb2/8/1B3N2/PPPP1PPP/RNBQR1K1 b kq -,d8d7 f3e5 c6e5 e1e5 f5e6 d1e1 e8f7 d2d4 f8d6 b1d2
rnbqk2r/ppppppbp/5np1/8/2P4P/2N2N2/PP1PPPP1/R1BQKB1R b KQkq -,a7a6 e2e4 e8h8 d2d4 d7d6 f1e2 c7c5 e1h1 c5d4 f3d4
r1bqkb1r/pp1p1ppp/5n2/1B2p1B1/3pP3/3P4/PPP2PPP/RN1Q1RK1 b kq -,a7a6 b5c4 f8e7 c2c3 d4c3 b1c3 b7b5 c4b3 e8h8 d3d4
rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B1P/5N2/PPP1PPP1/RN1QKB1R b KQkq -,f8d6 f4d6 d8d6 c2c4 d6b4 b1d2 b4b2 e2e3 e8h8 f1e2
rnbqkbnr/pp2pp1p/3p2p1/2p5/4P3/2NP4/PPP1NPPP/R1BQKB1R b KQkq -,e7e5 h2h4 h7h6 c3d5 b8c6 h4h5 g6g5 e2g3 f8g7 f1e2
r2qk1nr/pppb1ppp/2np4/1Bb5/4P3/5N2/PPP2PPP/RNBQ1RK1 b kq -,g8f6 b1c3 e8h8 h2h3 f8e8 f1e1 a7a6 b5d3 h7h6 c1e3
8/8/8/8/8/6Np/5K2/7k b - -,
rnbqk2r/pp2ppbp/6pn/3pP3/3P4/5N1P/PP3PP1/RNBQKB1R b KQkq -,c8f5 f1b5 b8c6 e1h1 e8h8 b1c3 f5e4 f3g5 e4f5 f1e1
r2qk1nr/pppb1ppp/2np4/1Bb2N2/4P3/8/PPP2PPP/RNBQ1RK1 b kq -,h7h5 f5g7 e8f8 g7f5 d8f6 b1c3 d7f5 e4f5 f6f5 b5d3
rnbqk1nr/ppp3pp/3p4/2bPpp2/2P1P3/2N5/PP3PPP/R1BQKBNR b KQkq -,g8f6 e4f5 c8f5 g1f3 e8h8 c1g5 b8d7 f1e2 h7h6 g5e3
3B4/1k6/8/1BK5/8/8/8/8 b - -,c7c6 e4f5 c8f5 g1f3 g8f6 f1d3 e5e4 f3h4 f5g4 d3e2
r2qkb1r/pp2pppp/2n2n2/2pp1b2/5P2/3PPN2/PPP1B1PP/RNBQ1RK1 b kq -,e7e6 b1c3 f5g6 d1e1 a7a6 c1d2 f8d6 f3h4 d5d4 c3d1
rnbqkb1r/pp3ppp/2p2n2/4p3/2PpP3/3P1N2/PP2NPPP/R1BQKB1R b KQkq -,f6d7 g2g3 f8e7 f1g2 a7a5 e1h1 e8h8 f3e1 b7b5 b2b3
rnbqk2r/pppnbppp/4p3/3pP3/3P1B2/2N2N2/PPP2PPP/R2QKB1R b KQkq -,e7f8 d1d2 c7c5 d4c5 b8c6 h2h4 f8c5 f1d3 f7f6 e5f6
rnbqkb1r/ppp1pp1p/3p1np1/8/2B1P3/3PB3/PPP2PPP/RN1QK1NR b KQkq -,e7e6 g1f3 f8g7 b1d2 e8h8 e1h1 b7b6 d3d4 d6d5 e4d5
rnbqk2r/ppp1ppbp/3p1np1/8/2B1P3/3PB3/PPPQ1PPP/RN2K1NR b KQkq -,d6d5 e4d5 f6d5 b1c3 d5e3 f2e3 c7c5 g1f3 e8h8 e1h1
rn1qkbnr/pp2pppp/8/2p1N3/3pP1b1/2P5/PP1PNPPP/R1BQKB1R b KQkq -,d8c8 c3d4 c5d4 d1a4 g4d7 e5d7 b8d7 e2d4 a7a6 f1e2
rnbq1rk1/ppp1ppbp/3p1np1/8/2B1P3/2NPB3/PPPQ1PPP/R3K1NR b KQ -,c7c6 c4b3 b7b5 a2a3 b8d7 g1e2 a7a5 e1h1 c8a6 b3a2
7Q/8/2k5/8/1N6/4K3/8/8 b - -,b8c6 g1e2 f6g4 e3f4 c6a5 h2h3 g4f6 e1h1 c7c6 f4h6
r2qkb1r/ppp2ppp/2n1pn2/1B1p4/6b1/1P2PN1P/PBPP1PP1/RN1QK2R b KQkq -,h7h5 h3g4 f6g4 c2c4 d5c4 d1c2 d8d3 c2c4 d3c4 b3c4
3R4/8/8/4K3/8/2k5/8/8 b - -,h7h5 h3g4 f6g4 c2c4 d5c4 d1c2 d8d3 c2c4 d3c4 b3c4
3R4/8/8/2K5/8/3k4/8/8 b - -,h7h5 h3g4 f6g4 c2c4 d5c4 d1c2 d8d3 c2c4 d3c4 b3c4
4R3/8/8/8/5k2/3K4/8/8 b - -,h7h5 h3g4 f6g4 c2c4 d5c4 d1c2 d8d3 c2c4 d3c4 b3c4
rnbq1rk1/ppp2ppp/4pn2/3pP3/1b1P4/2NB4/PPPB1PPP/R2QK1NR b KQ -,b4e7 e5f6 e7f6 c3e2 b8d7 g1f3 e6e5 d4e5 d7e5 f3e5
rnbq1rk1/ppp2ppp/4pn2/3pP3/3P4/2BB4/PPP2PPP/R2QK1NR b KQ -,f6e8 c3b4 b8d7 b4f8 d7f8 g1f3 b7b6 c2c3 a7a5 d3c2
8/5p2/8/R2kP3/6N1/8/8/6K1 b - -,f6e8 c3b4 b8d7 b4f8 d7f8 g1f3 b7b6 c2c3 a7a5 d3c2
8/5R2/8/4P3/2k3N1/8/8/6K1 b - -,f6e8 c3b4 b8d7 b4f8 d7f8 g1f3 b7b6 c2c3 a7a5 d3c2
8/3k4/8/2QN4/8/4K3/8/8 b - -,f6e8 c3b4 b8d7 b4f8 d7f8 g1f3 b7b6 c2c3 a7a5 d3c2
rnbqk2r/pp2bppp/2p2p2/8/2BP4/2P5/PP3PPP/R1BQK1NR b KQkq -,e7d6 d1e2 d8e7 e2e7 e8e7 g1e2 c8e6 c4d3 a7a5 a2a4
8/8/4k3/3N4/3Q4/4K3/8/8 b - -,c6c5 g1e2 e8h8 e1h1 b8c6 c1e3 c5d4 e2d4 c6d4 e3d4
rnbqkbnr/ppppp2p/6p1/5p2/3P4/3BP3/PPP2PPP/RNBQK1NR b KQkq -,g8h6 g1f3 h6f7 b1c3 d7d5 b2b3 f8g7 c1b2 b8c6 d3b5
8/8/8/3N1k2/4Q3/4K3/8/8 b - -,g8h6 g1f3 h6f7 b1c3 d7d5 b2b3 f8g7 c1b2 b8c6 d3b5
8/8/5N2/7k/5Q2/4K3/8/8 b - -,g8h6 g1f3 h6f7 b1c3 d7d5 b2b3 f8g7 c1b2 b8c6 d3b5
8/8/5Nk1/8/4KQ2/8/8/8 b - -,g8h6 g1f3 h6f7 b1c3 d7d5 b2b3 f8g7 c1b2 b8c6 d3b5
r1bqk2r/2pp1ppp/p1n2n2/1pb1p1B1/4P3/1B1P1N2/PPP2PPP/RN1Q1RK1 b kq -,c5a7 a2a4 b5b4 b3d5 h7h6 g5h4 d8e7 d5c6 d7c6 b1d2
8/5k2/3Q1N2/8/4K3/8/8/8 b - -,c5a7 a2a4 b5b4 b3d5 h7h6 g5h4 d8e7 d5c6 d7c6 b1d2
rnbq1rk1/pppp1ppp/4pn2/8/1b1PP3/2NB4/PPPB1PPP/R2QK1NR b KQ -,b8c6 g1f3 b4c3 b2c3 d7d5 e4e5 f6e4 d3e4 d5e4 f3g5
r1bqk2r/pp1nbppp/2p1pn2/3pN3/3P1B2/2P1P3/PP1N1PPP/R2QKB1R b KQkq -,h7h6 f1d3 d7e5 f4e5 c6c5 d1f3 f6d7 e5f4 d7f6 d3c2
rn1qkbnr/ppp2ppp/4p3/3p4/6b1/1P3NP1/PBPPPP1P/RN1QKB1R b KQkq -,c7c6 f1g2 g8f6 e1h1 f8d6 d2d3 e8h8 h2h3 g4h5 b1d2
r1bqk2r/pppp1ppp/2n5/4P3/1bP2Bn1/P1N5/1P2PPPP/R2QKBNR b KQkq -,b4f8 g1f3 d7d6 e5d6 f8d6 f4d6 d8d6 d1d6 c7d6 b2b3
rn1qkbnr/pp2pppp/2p5/4P3/2Bp2b1/5N1P/PPPP1PP1/RNBQK2R b KQkq -,g4d7 f3d4 e7e6 d4f3 c6c5 d2d4 c5d4 d1d4 b8c6 d4e4
